date,hour,minute,coin,volume,avg_price
2017-09-03,11,19,qtum,297.14919999999995,17983.469745165054
2017-09-03,11,19,xrp,57753.2787,252.00058604118695
2017-09-03,11,20,bch,3.42,643500
2017-09-03,11,20,btc,3.2926000000000011,5110171.9309967794
2017-09-03,11,20,etc,822.98310000000015,21470.86991458269
2017-09-03,11,20,eth,15.4971,384510.54939311231
2017-09-03,11,20,qtum,1001.4646,17985.964221800754
2017-09-03,11,20,xrp,3722.5797,252
2017-09-03,11,21,bch,14.188400000000001,643133.654957571
2017-09-03,11,21,btc,0.6921,5102638.4193035681
2017-09-03,11,21,etc,1595.1213,21446.564251884793
2017-09-03,11,21,eth,256.66079999999994,384018.56802830822
2017-09-03,11,21,qtum,1984.4128,17928.930876176568
2017-09-03,11,21,xrp,370440.5469,251.59184354152026
2017-09-03,11,22,bch,11.194799999999999,638849.95712295
2017-09-03,11,22,btc,1.7663000000000002,5098130.9800147191
2017-09-03,11,22,etc,674.8085,21375.80232021381
2017-09-03,11,22,eth,476.04079999999993,383014.12500777247
2017-09-03,11,22,qtum,2538.6776999999997,17834.67313239487
2017-09-03,11,22,xrp,311454.6053,251.03210740772437
2017-09-03,11,23,bch,4.996,638500
2017-09-03,11,23,btc,0.1445,5092500
2017-09-03,11,23,etc,1376.5657,21328.332893228417
2017-09-03,11,23,eth,620.06399999999985,382611.37750296749
2017-09-03,11,23,qtum,1166.2158,17797.290083876414
2017-09-03,11,23,xrp,110793.76580000002,250.99999999999997
2017-09-03,11,24,bch,16.9745,638500
2017-09-03,11,24,btc,11.150400000000001,5072153.3084014915
2017-09-03,11,24,etc,1909.1512000000005,21197.575553471092
2017-09-03,11,24,eth,560.5662,381773.17034098739
2017-09-03,11,24,qtum,382.44390000000004,17785.097241713094
2017-09-03,11,24,xrp,5935.1035,251
2017-09-03,11,25,bch,9.313,635408.03607859975
2017-09-03,11,25,btc,4.1213000000000006,5070446.7401062772
2017-09-03,11,25,etc,3124.3152,21060.092201324627
2017-09-03,11,25,eth,630.99180000000013,381011.85903683677
2017-09-03,11,25,qtum,26.9149,17840
2017-09-03,11,25,xrp,459523.6592,250.00000000000003
2017-09-03,11,26,bch,9.6191,633178.21521763992
2017-09-03,11,26,btc,3.6297999999999986,5064480.012672876
2017-09-03,11,26,etc,1533.2614999999998,21099.704801170577
2017-09-03,11,26,eth,254.21400000000003,380373.4274272857
2017-09-03,11,26,qtum,3162.6947999999998,17764.463554308179
2017-09-03,11,26,xrp,792640.74839999969,249.87454847495457
2017-09-03,11,27,bch,13.466299999999999,632219.46562901477
2017-09-03,11,27,btc,4.177,5060000.0000000009
